Complaint_ID,Date,State,Hospital_Type,Department,Complaint_Category,Severity,Resolved
CMP100312,2024-03-20,Uttar Pradesh,PHC,Pharmacy,Rude staff,Low,No
CMP100313,2024-04-07,Tamil Nadu,District Hospital,Outpatient,Rude staff,Low,No
CMP100314,2024-05-31,Tamil Nadu,District Hospital,Pediatrics,Billing issues,Medium,Yes
CMP100315,2024-04-21,West Bengal,District Hospital,Maternity,Test delays,High,Yes
CMP100316,2024-01-30,Karnataka,CHC,Surgery,Long wait time,Medium,No
CMP100317,2024-10-23,Maharashtra,Medical College Hospital,Pharmacy,Test delays,Low,Yes
CMP100318,2024-10-04,Bihar,CHC,Emergency,Unavailability of medicine,High,No
CMP100319,2024-02-01,Rajasthan,District Hospital,Diagnostics,Unavailability of medicine,Low,No
CMP100320,2024-06-09,Rajasthan,PHC,Maternity,Rude staff,Low,Yes
CMP100321,2024-01-30,Karnataka,District Hospital,Emergency,Unavailability of medicine,Medium,Yes
CMP100322,2024-01-26,West Bengal,District Hospital,Emergency,Unclean wards,Medium,No
CMP100323,2024-10-26,Karnataka,Medical College Hospital,Diagnostics,Billing issues,Medium,No
CMP100324,2024-09-01,Bihar,District Hospital,Maternity,Rude staff,Medium,Yes
CMP100325,2024-09-14,Rajasthan,CHC,Pharmacy,Billing issues,Medium,Yes
CMP100326,2024-09-28,Bihar,Medical College Hospital,Maternity,Unavailability of medicine,Medium,Yes
CMP100327,2024-03-21,Tamil Nadu,Medical College Hospital,Pediatrics,Long wait time,Low,No
CMP100328,2024-01-30,Karnataka,Medical College Hospital,Maternity,Long wait time,Low,Yes
CMP100329,2024-09-17,Rajasthan,District Hospital,Pharmacy,Unclean wards,Low,No
CMP100330,2024-02-11,Uttar Pradesh,Medical College Hospital,Pediatrics,Unclean wards,High,Yes
CMP100331,2024-04-05,Rajasthan,Medical College Hospital,Emergency,Lack of communication,Medium,Yes
CMP100332,2024-02-05,Uttar Pradesh,CHC,Emergency,Rude staff,Low,No
CMP100333,2024-10-31,Karnataka,PHC,Pharmacy,Unclean wards,Medium,Yes
CMP100334,2024-02-04,Bihar,CHC,Pediatrics,Unavailability of medicine,Medium,No
CMP100335,2024-12-11,Maharashtra,CHC,Maternity,Rude staff,Low,No
CMP100336,2024-04-30,Bihar,PHC,Diagnostics,Long wait time,Low,No
CMP100337,2024-07-25,Bihar,PHC,Outpatient,Test delays,High,No
CMP100338,2024-03-02,Maharashtra,Medical College Hospital,Diagnostics,Billing issues,Medium,No
CMP100339,2024-10-18,West Bengal,CHC,Surgery,Billing issues,Low,No
CMP100340,2024-05-06,Bihar,District Hospital,Maternity,Unavailability of medicine,Low,Yes
CMP100341,2024-10-23,Maharashtra,CHC,Emergency,Test delays,High,No
CMP100342,2024-10-31,Karnataka,PHC,Pharmacy,Test delays,Medium,Yes
CMP100343,2024-01-21,Maharashtra,Medical College Hospital,Diagnostics,Unavailability of medicine,Low,No
CMP100344,2024-11-13,Rajasthan,Medical College Hospital,Pediatrics,Unclean wards,Low,No
CMP100345,2024-02-11,Uttar Pradesh,Medical College Hospital,Surgery,Unavailability of medicine,Medium,Yes
CMP100346,2024-08-02,Maharashtra,District Hospital,Surgery,Lack of communication,Medium,Yes
CMP100347,2024-12-02,Bihar,District Hospital,Emergency,Billing issues,High,No
CMP100348,2024-10-25,West Bengal,PHC,Outpatient,Test delays,Medium,No
CMP100349,2024-10-16,Karnataka,Medical College Hospital,Outpatient,Rude staff,High,Yes
CMP100350,2024-09-24,Maharashtra,CHC,Surgery,Lack of communication,Medium,No
CMP100351,2024-06-10,Bihar,Medical College Hospital,Diagnostics,Billing issues,Medium,Yes
CMP100352,2024-05-13,West Bengal,CHC,Surgery,Test delays,Medium,Yes
CMP100353,2024-04-14,Maharashtra,CHC,Maternity,Unclean wards,Medium,Yes
CMP100354,2024-12-08,Karnataka,District Hospital,Emergency,Unavailability of medicine,High,No
CMP100355,2024-06-09,Karnataka,Medical College Hospital,Emergency,Test delays,High,Yes
CMP100356,2024-05-02,Uttar Pradesh,PHC,Outpatient,Long wait time,Low,Yes
CMP100357,2024-05-15,Karnataka,Medical College Hospital,Surgery,Test delays,Low,No
CMP100358,2024-07-21,West Bengal,Medical College Hospital,Pharmacy,Unclean wards,High,No
CMP100359,2024-03-08,Bihar,PHC,Pharmacy,Long wait time,High,No
CMP100360,2024-12-09,Karnataka,PHC,Diagnostics,Rude staff,Medium,Yes
CMP100361,2024-11-26,Karnataka,Medical College Hospital,Diagnostics,Test delays,Medium,Yes
CMP100362,2024-06-02,Bihar,PHC,Maternity,Billing issues,High,Yes
CMP100363,2024-08-22,Bihar,CHC,Outpatient,Long wait time,Medium,No
CMP100364,2024-06-10,West Bengal,District Hospital,Emergency,Unavailability of medicine,Low,No
CMP100365,2024-02-07,Karnataka,PHC,Pharmacy,Long wait time,High,Yes
CMP100366,2024-01-05,West Bengal,CHC,Maternity,Unclean wards,Medium,No
CMP100367,2024-08-22,Karnataka,District Hospital,Pharmacy,Billing issues,Low,No
CMP100368,2024-11-14,Maharashtra,PHC,Pharmacy,Lack of communication,High,No
CMP100369,2024-10-15,Rajasthan,District Hospital,Maternity,Rude staff,High,Yes
CMP100370,2024-02-21,Karnataka,Medical College Hospital,Pharmacy,Unclean wards,High,No
CMP100371,2024-02-07,Uttar Pradesh,PHC,Outpatient,Unavailability of medicine,Medium,No
CMP100372,2024-10-02,Rajasthan,CHC,Surgery,Long wait time,Medium,No
CMP100373,2024-04-19,Rajasthan,CHC,Pharmacy,Unavailability of medicine,Low,Yes
CMP100374,2024-09-16,Uttar Pradesh,District Hospital,Pediatrics,Long wait time,Medium,Yes
CMP100375,2024-05-15,Uttar Pradesh,CHC,Emergency,Billing issues,Medium,Yes
CMP100376,2024-03-08,Uttar Pradesh,CHC,Maternity,Test delays,High,Yes
CMP100377,2024-06-27,West Bengal,PHC,Pharmacy,Rude staff,Low,Yes
CMP100378,2024-02-05,Rajasthan,District Hospital,Diagnostics,Billing issues,High,Yes
CMP100379,2024-05-05,Karnataka,CHC,Pediatrics,Billing issues,Medium,No
CMP100380,2024-07-08,Maharashtra,Medical College Hospital,Emergency,Rude staff,High,Yes
CMP100381,2024-05-25,West Bengal,PHC,Surgery,Lack of communication,Medium,Yes
CMP100382,2024-03-21,Bihar,CHC,Pharmacy,Lack of communication,High,Yes
CMP100383,2024-08-12,Rajasthan,CHC,Outpatient,Unavailability of medicine,Low,No
CMP100384,2024-10-05,Karnataka,CHC,Outpatient,Rude staff,Low,No
CMP100385,2024-12-26,Tamil Nadu,PHC,Pharmacy,Long wait time,High,Yes
CMP100386,2024-06-03,Karnataka,PHC,Diagnostics,Long wait time,Low,No
CMP100387,2024-11-09,West Bengal,District Hospital,Maternity,Billing issues,High,No
CMP100388,2024-11-30,Uttar Pradesh,PHC,Outpatient,Lack of communication,High,No
CMP100389,2024-09-27,Tamil Nadu,CHC,Emergency,Unclean wards,High,No
CMP100390,2024-01-05,West Bengal,CHC,Maternity,Test delays,Medium,No
CMP100391,2024-12-07,Karnataka,Medical College Hospital,Diagnostics,Test delays,High,Yes
CMP100392,2024-10-10,Maharashtra,PHC,Surgery,Long wait time,High,No
CMP100393,2024-06-02,West Bengal,CHC,Maternity,Billing issues,Low,Yes
CMP100394,2024-12-05,Maharashtra,Medical College Hospital,Surgery,Unclean wards,High,Yes
CMP100395,2024-02-23,Tamil Nadu,District Hospital,Pediatrics,Rude staff,High,Yes
CMP100396,2024-03-09,Bihar,District Hospital,Maternity,Unclean wards,Low,Yes
CMP100397,2024-05-15,Rajasthan,District Hospital,Maternity,Unavailability of medicine,Low,No
CMP100398,2024-02-29,Rajasthan,CHC,Outpatient,Billing issues,High,Yes
CMP100399,2024-02-24,West Bengal,CHC,Diagnostics,Billing issues,High,No
CMP100400,2024-10-10,Tamil Nadu,District Hospital,Outpatient,Billing issues,High,Yes
CMP100401,2024-03-20,Maharashtra,Medical College Hospital,Surgery,Long wait time,Low,No
CMP100402,2024-05-19,Tamil Nadu,District Hospital,Outpatient,Test delays,High,Yes
CMP100403,2024-05-24,Uttar Pradesh,PHC,Diagnostics,Unavailability of medicine,High,No
CMP100404,2024-11-05,West Bengal,CHC,Pharmacy,Unclean wards,Low,Yes
CMP100405,2024-04-17,Uttar Pradesh,CHC,Surgery,Rude staff,Medium,Yes
CMP100406,2024-06-24,Bihar,PHC,Pharmacy,Test delays,High,Yes
CMP100407,2024-04-14,Tamil Nadu,CHC,Diagnostics,Lack of communication,Low,Yes
CMP100408,2024-12-17,Tamil Nadu,PHC,Surgery,Unclean wards,Low,Yes
CMP100409,2024-11-20,Tamil Nadu,District Hospital,Outpatient,Unavailability of medicine,High,Yes
CMP100410,2024-05-15,Tamil Nadu,District Hospital,Outpatient,Unclean wards,High,Yes
CMP100411,2024-09-15,Bihar,CHC,Maternity,Unavailability of medicine,Low,No
CMP100412,2024-09-07,Maharashtra,CHC,Outpatient,Long wait time,Low,Yes
CMP100413,2024-05-08,Karnataka,District Hospital,Surgery,Unavailability of medicine,Medium,No
CMP100414,2024-01-27,Bihar,PHC,Surgery,Unavailability of medicine,Low,Yes
CMP100415,2024-02-17,Maharashtra,District Hospital,Maternity,Unavailability of medicine,Low,Yes
CMP100416,2024-11-20,Rajasthan,PHC,Pediatrics,Unavailability of medicine,High,No
CMP100417,2024-08-04,West Bengal,Medical College Hospital,Outpatient,Unclean wards,High,Yes
CMP100418,2024-05-21,Maharashtra,District Hospital,Pediatrics,Lack of communication,Medium,Yes
CMP100419,2024-01-23,West Bengal,PHC,Outpatient,Billing issues,Low,Yes
CMP100420,2024-01-02,Rajasthan,PHC,Pharmacy,Long wait time,High,Yes
CMP100421,2024-06-19,Maharashtra,PHC,Maternity,Rude staff,High,No
CMP100422,2024-03-07,Tamil Nadu,CHC,Maternity,Test delays,Medium,No
CMP100423,2024-11-22,Bihar,CHC,Surgery,Unclean wards,Medium,No
CMP100424,2024-05-14,Rajasthan,Medical College Hospital,Outpatient,Test delays,High,Yes
CMP100425,2024-03-23,Maharashtra,Medical College Hospital,Diagnostics,Unclean wards,Low,Yes
CMP100426,2024-08-14,Karnataka,PHC,Pediatrics,Lack of communication,Medium,No
CMP100427,2024-10-09,Karnataka,CHC,Outpatient,Unclean wards,Low,No
CMP100428,2024-12-27,Uttar Pradesh,PHC,Maternity,Unavailability of medicine,Medium,No
CMP100429,2024-08-06,Maharashtra,CHC,Surgery,Rude staff,Medium,Yes
CMP100430,2024-10-14,Bihar,CHC,Outpatient,Lack of communication,Low,No
CMP100431,2024-01-05,Tamil Nadu,Medical College Hospital,Pharmacy,Test delays,Medium,Yes
CMP100432,2024-02-27,Uttar Pradesh,PHC,Emergency,Unclean wards,Low,No
CMP100433,2024-02-08,Maharashtra,PHC,Surgery,Test delays,High,Yes
CMP100434,2024-12-19,Tamil Nadu,CHC,Surgery,Unclean wards,Medium,No
CMP100435,2024-03-17,Bihar,CHC,Maternity,Rude staff,Medium,No
CMP100436,2024-10-06,Bihar,District Hospital,Emergency,Lack of communication,Medium,No
CMP100437,2024-01-19,Uttar Pradesh,Medical College Hospital,Outpatient,Billing issues,Low,No
CMP100438,2024-07-08,Uttar Pradesh,District Hospital,Pharmacy,Billing issues,Low,No
CMP100439,2024-10-25,Maharashtra,CHC,Pediatrics,Long wait time,Low,Yes
CMP100440,2024-10-09,Tamil Nadu,PHC,Outpatient,Rude staff,High,No
CMP100441,2024-03-16,Rajasthan,CHC,Maternity,Rude staff,Low,Yes
CMP100442,2024-08-08,Karnataka,District Hospital,Emergency,Unavailability of medicine,Medium,Yes
CMP100443,2024-03-06,Tamil Nadu,Medical College Hospital,Pediatrics,Unclean wards,Low,Yes
CMP100444,2024-01-22,Bihar,CHC,Pharmacy,Lack of communication,Low,Yes
CMP100445,2024-06-06,Rajasthan,PHC,Diagnostics,Billing issues,Medium,Yes
CMP100446,2024-07-05,Bihar,District Hospital,Diagnostics,Unavailability of medicine,Low,No
CMP100447,2024-01-21,Rajasthan,CHC,Pharmacy,Long wait time,Low,Yes
CMP100448,2024-07-02,Maharashtra,PHC,Diagnostics,Billing issues,Medium,No
CMP100449,2024-04-17,Karnataka,PHC,Maternity,Lack of communication,Medium,No
CMP100450,2024-12-15,West Bengal,CHC,Pediatrics,Unclean wards,High,No
CMP100451,2024-05-07,Maharashtra,District Hospital,Maternity,Long wait time,Low,Yes
CMP100452,2024-12-07,Bihar,PHC,Maternity,Long wait time,Low,No
CMP100453,2024-02-22,Rajasthan,Medical College Hospital,Pharmacy,Unclean wards,High,Yes
CMP100454,2024-06-30,Bihar,District Hospital,Outpatient,Test delays,Medium,No
CMP100455,2024-10-13,Tamil Nadu,PHC,Pediatrics,Unavailability of medicine,Low,No
CMP100456,2024-07-27,Karnataka,CHC,Outpatient,Unclean wards,Low,No
CMP100457,2024-11-13,Tamil Nadu,CHC,Emergency,Rude staff,High,No
CMP100458,2024-03-20,Tamil Nadu,District Hospital,Outpatient,Billing issues,Low,No
CMP100459,2024-05-01,Maharashtra,PHC,Outpatient,Unclean wards,Medium,Yes
CMP100460,2024-03-24,Tamil Nadu,PHC,Emergency,Test delays,Medium,Yes
CMP100461,2024-03-31,Uttar Pradesh,District Hospital,Pediatrics,Billing issues,Low,Yes
CMP100462,2024-07-30,Uttar Pradesh,District Hospital,Surgery,Lack of communication,Medium,Yes
CMP100463,2024-01-13,Tamil Nadu,District Hospital,Surgery,Rude staff,Low,No
CMP100464,2024-04-01,Karnataka,Medical College Hospital,Pharmacy,Rude staff,Medium,No
CMP100465,2024-06-19,Tamil Nadu,Medical College Hospital,Surgery,Rude staff,Medium,No
CMP100466,2024-07-29,Bihar,Medical College Hospital,Surgery,Lack of communication,Medium,No
CMP100467,2024-12-08,Bihar,CHC,Surgery,Unclean wards,Medium,Yes
CMP100468,2024-05-07,Karnataka,Medical College Hospital,Outpatient,Unavailability of medicine,Low,No
CMP100469,2024-05-16,Maharashtra,Medical College Hospital,Surgery,Billing issues,Low,Yes
CMP100470,2024-03-22,Uttar Pradesh,Medical College Hospital,Outpatient,Unclean wards,Low,No
CMP100471,2024-12-25,Uttar Pradesh,PHC,Outpatient,Long wait time,Low,Yes
CMP100472,2024-02-25,Maharashtra,Medical College Hospital,Maternity,Lack of communication,High,Yes
CMP100473,2024-07-14,Tamil Nadu,District Hospital,Emergency,Lack of communication,High,Yes
CMP100474,2024-01-20,Karnataka,Medical College Hospital,Pharmacy,Unavailability of medicine,Low,Yes
CMP100475,2024-08-28,Rajasthan,CHC,Emergency,Lack of communication,Medium,Yes
CMP100476,2024-04-23,West Bengal,CHC,Maternity,Billing issues,High,Yes
CMP100477,2024-04-12,West Bengal,Medical College Hospital,Pediatrics,Unavailability of medicine,High,Yes
CMP100478,2024-08-23,Tamil Nadu,District Hospital,Diagnostics,Unclean wards,Medium,No
CMP100479,2024-06-28,Maharashtra,District Hospital,Outpatient,Billing issues,Low,Yes
CMP100480,2024-06-05,Karnataka,PHC,Surgery,Test delays,Medium,Yes
CMP100481,2024-04-26,Uttar Pradesh,District Hospital,Pediatrics,Unclean wards,Low,No
CMP100482,2024-04-24,Rajasthan,PHC,Surgery,Rude staff,Medium,No
CMP100483,2024-01-13,Uttar Pradesh,PHC,Diagnostics,Long wait time,Medium,No
CMP100484,2024-12-03,Tamil Nadu,District Hospital,Maternity,Lack of communication,High,Yes
CMP100485,2024-04-08,Bihar,District Hospital,Maternity,Long wait time,Medium,Yes
CMP100486,2024-07-23,Maharashtra,PHC,Pharmacy,Rude staff,Low,Yes
CMP100487,2024-06-17,West Bengal,CHC,Outpatient,Unavailability of medicine,Medium,Yes
CMP100488,2024-05-22,Maharashtra,Medical College Hospital,Pediatrics,Unavailability of medicine,Low,Yes
CMP100489,2024-02-05,Rajasthan,CHC,Diagnostics,Test delays,Medium,No
CMP100490,2024-05-22,Tamil Nadu,District Hospital,Diagnostics,Lack of communication,High,No
CMP100491,2024-06-28,Maharashtra,District Hospital,Diagnostics,Test delays,Low,No
CMP100492,2024-11-24,Uttar Pradesh,PHC,Outpatient,Unclean wards,Low,No
CMP100493,2024-09-17,Tamil Nadu,Medical College Hospital,Outpatient,Long wait time,Medium,No
CMP100494,2024-07-23,Uttar Pradesh,District Hospital,Outpatient,Test delays,High,Yes
CMP100495,2024-12-13,Karnataka,Medical College Hospital,Outpatient,Test delays,High,No
CMP100496,2024-10-01,Karnataka,CHC,Emergency,Unavailability of medicine,High,Yes
CMP100497,2024-06-18,Bihar,Medical College Hospital,Diagnostics,Unclean wards,Low,No
CMP100498,2024-01-15,Maharashtra,CHC,Pediatrics,Rude staff,Low,No
CMP100499,2024-02-29,Karnataka,District Hospital,Emergency,Unclean wards,High,Yes
CMP100500,2024-05-13,Maharashtra,District Hospital,Pharmacy,Test delays,High,Yes
CMP100501,2024-04-01,Uttar Pradesh,PHC,Diagnostics,Test delays,Low,No
CMP100502,2024-10-24,Tamil Nadu,CHC,Outpatient,Rude staff,Medium,Yes
CMP100503,2024-05-15,Karnataka,CHC,Maternity,Long wait time,High,No
CMP100504,2024-01-20,Tamil Nadu,Medical College Hospital,Maternity,Long wait time,Medium,Yes
CMP100505,2024-02-25,Rajasthan,PHC,Outpatient,Lack of communication,Medium,Yes
CMP100506,2024-11-01,Karnataka,PHC,Pediatrics,Unavailability of medicine,Low,Yes
CMP100507,2024-08-10,Maharashtra,PHC,Outpatient,Unclean wards,High,No
CMP100508,2024-06-25,Rajasthan,CHC,Emergency,Long wait time,High,No
CMP100509,2024-06-09,Karnataka,District Hospital,Outpatient,Billing issues,Low,Yes
CMP100510,2024-08-11,West Bengal,District Hospital,Diagnostics,Test delays,Low,Yes
CMP100511,2024-11-06,Karnataka,Medical College Hospital,Pediatrics,Unavailability of medicine,Medium,No
CMP100512,2024-09-18,Uttar Pradesh,Medical College Hospital,Surgery,Billing issues,High,No
CMP100513,2024-02-29,Bihar,CHC,Diagnostics,Unclean wards,Low,No
CMP100514,2024-07-16,Uttar Pradesh,District Hospital,Maternity,Billing issues,Low,No
CMP100515,2024-10-22,Tamil Nadu,PHC,Pharmacy,Unclean wards,High,No
CMP100516,2024-04-07,Maharashtra,District Hospital,Pediatrics,Lack of communication,Medium,Yes
CMP100517,2024-05-10,Rajasthan,Medical College Hospital,Diagnostics,Unavailability of medicine,High,Yes
CMP100518,2024-01-23,Maharashtra,District Hospital,Outpatient,Test delays,Medium,Yes
CMP100519,2024-12-28,Karnataka,PHC,Diagnostics,Test delays,Low,Yes
CMP100520,2024-08-11,Maharashtra,Medical College Hospital,Diagnostics,Unclean wards,Low,Yes
CMP100521,2024-01-01,Rajasthan,CHC,Pediatrics,Test delays,Medium,Yes
CMP100522,2024-09-23,Bihar,District Hospital,Emergency,Lack of communication,High,No
CMP100523,2024-10-02,Bihar,District Hospital,Surgery,Long wait time,Medium,No
CMP100524,2024-12-17,Karnataka,CHC,Maternity,Unavailability of medicine,High,No
CMP100525,2024-12-09,Karnataka,CHC,Pediatrics,Billing issues,Low,Yes
CMP100526,2024-04-10,Tamil Nadu,PHC,Diagnostics,Test delays,Low,No
CMP100527,2024-07-05,Karnataka,District Hospital,Maternity,Billing issues,Low,No
CMP100528,2024-08-08,Uttar Pradesh,Medical College Hospital,Pharmacy,Long wait time,Medium,Yes
CMP100529,2024-02-05,Uttar Pradesh,District Hospital,Diagnostics,Lack of communication,Medium,Yes
CMP100530,2024-12-06,Uttar Pradesh,PHC,Surgery,Unavailability of medicine,High,Yes
CMP100531,2024-06-18,Bihar,Medical College Hospital,Maternity,Rude staff,Medium,Yes
CMP100532,2024-11-15,West Bengal,Medical College Hospital,Surgery,Billing issues,High,Yes
CMP100533,2024-06-09,Maharashtra,Medical College Hospital,Surgery,Long wait time,Medium,No
CMP100534,2024-12-05,Rajasthan,PHC,Surgery,Rude staff,Medium,Yes
CMP100535,2024-03-04,Tamil Nadu,District Hospital,Surgery,Unavailability of medicine,High,Yes
CMP100536,2024-06-02,Karnataka,Medical College Hospital,Maternity,Unclean wards,Low,No
CMP100537,2024-09-16,Tamil Nadu,CHC,Maternity,Test delays,High,Yes
CMP100538,2024-06-07,Bihar,PHC,Pediatrics,Rude staff,High,No
CMP100539,2024-12-07,Karnataka,Medical College Hospital,Emergency,Unavailability of medicine,Medium,Yes
CMP100540,2024-07-28,Karnataka,PHC,Surgery,Rude staff,Low,Yes
CMP100541,2024-06-16,Bihar,CHC,Emergency,Long wait time,Low,Yes
CMP100542,2024-07-25,Maharashtra,Medical College Hospital,Diagnostics,Unavailability of medicine,High,Yes
CMP100543,2024-12-22,Karnataka,District Hospital,Diagnostics,Unavailability of medicine,High,Yes
CMP100544,2024-05-31,Maharashtra,PHC,Pediatrics,Unclean wards,High,No
CMP100545,2024-10-10,Bihar,Medical College Hospital,Emergency,Test delays,Low,No
CMP100546,2024-03-06,Tamil Nadu,Medical College Hospital,Outpatient,Unavailability of medicine,Medium,No
CMP100547,2024-04-08,Karnataka,PHC,Surgery,Long wait time,Low,Yes
CMP100548,2024-08-03,West Bengal,CHC,Surgery,Unavailability of medicine,Medium,No
CMP100549,2024-12-06,Rajasthan,PHC,Diagnostics,Unavailability of medicine,High,Yes
CMP100550,2024-07-13,Maharashtra,District Hospital,Maternity,Billing issues,Low,No
CMP100551,2024-12-12,Karnataka,CHC,Emergency,Test delays,Low,No
CMP100552,2024-03-30,Maharashtra,District Hospital,Surgery,Long wait time,High,No
CMP100553,2024-11-11,Karnataka,District Hospital,Diagnostics,Billing issues,High,Yes
CMP100554,2024-10-18,Rajasthan,PHC,Surgery,Rude staff,Medium,Yes
CMP100555,2024-06-03,Karnataka,Medical College Hospital,Pediatrics,Lack of communication,Medium,No
CMP100556,2024-07-26,Karnataka,CHC,Maternity,Test delays,Low,Yes
CMP100557,2024-10-07,Tamil Nadu,District Hospital,Emergency,Rude staff,High,No
CMP100558,2024-01-01,West Bengal,Medical College Hospital,Outpatient,Lack of communication,High,Yes
CMP100559,2024-06-04,Karnataka,Medical College Hospital,Pharmacy,Long wait time,Medium,No
CMP100560,2024-05-26,Maharashtra,Medical College Hospital,Diagnostics,Billing issues,High,Yes
CMP100561,2024-04-17,Tamil Nadu,CHC,Diagnostics,Lack of communication,Medium,Yes
CMP100562,2024-08-08,Rajasthan,Medical College Hospital,Pharmacy,Rude staff,High,No
CMP100563,2024-10-23,Uttar Pradesh,PHC,Pediatrics,Billing issues,Medium,No
CMP100564,2024-11-06,Maharashtra,District Hospital,Pediatrics,Unavailability of medicine,High,Yes
CMP100565,2024-12-01,Maharashtra,Medical College Hospital,Pharmacy,Lack of communication,Medium,No
CMP100566,2024-06-13,West Bengal,District Hospital,Diagnostics,Unavailability of medicine,Medium,Yes
CMP100567,2024-08-26,Uttar Pradesh,CHC,Outpatient,Lack of communication,Low,No
CMP100568,2024-08-14,Tamil Nadu,District Hospital,Diagnostics,Lack of communication,High,No
CMP100569,2024-08-14,Karnataka,Medical College Hospital,Pharmacy,Test delays,Medium,Yes
CMP100570,2024-12-11,Maharashtra,CHC,Surgery,Lack of communication,Medium,No
CMP100571,2024-04-19,Rajasthan,CHC,Emergency,Unavailability of medicine,Low,Yes
CMP100572,2024-09-18,West Bengal,CHC,Maternity,Unavailability of medicine,Medium,No
CMP100573,2024-08-30,Rajasthan,CHC,Surgery,Test delays,High,Yes
CMP100574,2024-03-27,West Bengal,CHC,Outpatient,Test delays,Medium,No
CMP100575,2024-12-03,West Bengal,District Hospital,Diagnostics,Test delays,Low,No
CMP100576,2024-02-13,Uttar Pradesh,Medical College Hospital,Pediatrics,Unavailability of medicine,High,Yes
CMP100577,2024-05-25,Karnataka,District Hospital,Maternity,Long wait time,Low,No
CMP100578,2024-09-20,Tamil Nadu,Medical College Hospital,Diagnostics,Billing issues,High,Yes
CMP100579,2024-12-05,Maharashtra,CHC,Emergency,Billing issues,Low,No
CMP100580,2024-11-20,West Bengal,CHC,Maternity,Unavailability of medicine,High,Yes
CMP100581,2024-11-13,Rajasthan,PHC,Surgery,Lack of communication,Medium,No
CMP100582,2024-06-20,Rajasthan,PHC,Emergency,Rude staff,Low,Yes
CMP100583,2024-02-17,Karnataka,District Hospital,Outpatient,Long wait time,Low,Yes
CMP100584,2024-04-30,Karnataka,District Hospital,Pediatrics,Rude staff,High,Yes
CMP100585,2024-12-10,Bihar,Medical College Hospital,Surgery,Billing issues,Low,No
CMP100586,2024-06-07,West Bengal,Medical College Hospital,Maternity,Unavailability of medicine,Medium,Yes
CMP100587,2024-04-25,Uttar Pradesh,PHC,Surgery,Unavailability of medicine,High,No
CMP100588,2024-04-11,Karnataka,PHC,Outpatient,Lack of communication,High,Yes
CMP100589,2024-03-16,Tamil Nadu,Medical College Hospital,Diagnostics,Unclean wards,High,No
CMP100590,2024-01-13,Bihar,District Hospital,Diagnostics,Unclean wards,Medium,Yes
CMP100591,2024-01-24,Karnataka,Medical College Hospital,Pharmacy,Unavailability of medicine,Medium,Yes
CMP100592,2024-05-05,West Bengal,District Hospital,Diagnostics,Rude staff,High,No
CMP100593,2024-08-31,West Bengal,Medical College Hospital,Emergency,Long wait time,Low,Yes
CMP100594,2024-11-08,Karnataka,CHC,Outpatient,Rude staff,High,Yes
CMP100595,2024-02-07,Rajasthan,CHC,Diagnostics,Rude staff,High,Yes
CMP100596,2024-08-21,Rajasthan,District Hospital,Surgery,Billing issues,Low,Yes
CMP100597,2024-07-31,Tamil Nadu,District Hospital,Maternity,Rude staff,High,No
CMP100598,2024-11-18,Bihar,District Hospital,Outpatient,Lack of communication,Low,Yes
CMP100599,2024-10-21,Rajasthan,PHC,Diagnostics,Rude staff,High,No
CMP100600,2024-04-09,West Bengal,PHC,Emergency,Lack of communication,Medium,No
CMP100601,2024-12-22,Bihar,Medical College Hospital,Pharmacy,Billing issues,High,Yes
CMP100602,2024-07-15,Uttar Pradesh,PHC,Pharmacy,Billing issues,Low,Yes
CMP100603,2024-09-10,Karnataka,Medical College Hospital,Maternity,Test delays,Medium,Yes
CMP100604,2024-07-23,West Bengal,Medical College Hospital,Maternity,Lack of communication,Medium,Yes
CMP100605,2024-05-04,Uttar Pradesh,Medical College Hospital,Maternity,Billing issues,High,No
CMP100606,2024-03-16,Bihar,District Hospital,Pediatrics,Lack of communication,Medium,No
CMP100607,2024-12-01,Uttar Pradesh,CHC,Outpatient,Billing issues,Medium,Yes
CMP100608,2024-12-18,Tamil Nadu,PHC,Maternity,Test delays,Low,Yes
CMP100609,2024-01-03,Maharashtra,Medical College Hospital,Maternity,Billing issues,High,Yes
CMP100610,2024-02-24,Tamil Nadu,CHC,Emergency,Test delays,Low,Yes
CMP100611,2024-08-05,Bihar,Medical College Hospital,Emergency,Lack of communication,Low,Yes
CMP100612,2024-04-22,Tamil Nadu,District Hospital,Emergency,Lack of communication,Medium,Yes
CMP100613,2024-03-31,West Bengal,Medical College Hospital,Maternity,Long wait time,Medium,Yes
CMP100614,2024-12-22,Bihar,PHC,Diagnostics,Unclean wards,Low,No
CMP100615,2024-09-22,Tamil Nadu,CHC,Maternity,Unclean wards,Medium,Yes
CMP100616,2024-08-25,Karnataka,District Hospital,Pharmacy,Long wait time,Low,Yes
CMP100617,2024-01-26,Rajasthan,Medical College Hospital,Emergency,Long wait time,Low,Yes
CMP100618,2024-10-12,Karnataka,PHC,Surgery,Lack of communication,High,Yes
CMP100619,2024-05-07,Tamil Nadu,PHC,Maternity,Rude staff,Low,No
CMP100620,2024-03-03,Rajasthan,District Hospital,Diagnostics,Long wait time,Medium,Yes
CMP100621,2024-08-21,Rajasthan,PHC,Maternity,Unclean wards,High,Yes
CMP100622,2024-03-09,West Bengal,PHC,Pediatrics,Unavailability of medicine,High,Yes
CMP100623,2024-08-25,West Bengal,PHC,Surgery,Unavailability of medicine,Medium,No
